Area_m2,Rooms_noisy,Floor_num_noisy,Parking_num_noisy,Municipality_score,Type_str_Novogradnja,Type_str_Ostalo,Type_str_Stara gradnja,Condition_str_Izvorno stanje,Condition_str_Lux,Condition_str_Ostalo,Condition_str_Renovirano,Condition_str_Za renoviranje,Heating_str_CG,Heating_str_EG,Heating_str_Ostalo,Heating_str_Podno,Heating_str_TA,Heating_str_Toplotne pumpe,Price_per_m2
223.0,4.96503666440535,-0.03495831088964718,1.041441194592496,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,6721.52466367713
77.0,3.045921235667613,1.0094130715352134,-0.008122947510792691,6,False,False,True,False,True,False,False,False,False,False,False,False,False,True,4740.25974025974
53.0,3.027511494271043,0.9880890856631022,1.9883138528249498,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1996.9811320754718
65.0,3.577442548515265,1.0469914397814604,0.001891770528283751,7,False,True,False,False,False,True,False,False,True,False,False,False,False,False,3923.076923076923
33.0,0.9944429850323898,1.0342118923135708,-0.045303403322494495,4,False,True,False,False,False,True,False,False,True,False,False,False,False,False,2696.969696969697
108.0,3.92391884918766,1.0338328704711137,-0.03337166312439206,5,True,False,False,True,False,False,False,False,True,False,False,False,False,False,3694.4444444444443
98.42,4.042648957444599,0.996869315979497,1.023803361642637,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,3800.0
71.0,3.0521570097233797,0.9914819502337665,0.9582798667925126,4,True,False,False,False,True,False,False,False,False,True,False,False,False,False,3211.2676056338028
127.0,4.0122554395139,-0.02265929280692938,0.010315210946638821,6,False,False,True,True,False,False,False,False,False,False,False,False,True,False,3425.196850393701
65.0,2.5541934359909124,0.9556375496650927,0.974534910968132,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,3767.6923076923076
53.0,1.9987591192728782,1.0364722376255053,0.9889295614041976,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3500.0
108.0,4.004546565876399,1.0312901009130078,-0.021130626322930016,5,True,False,False,True,False,False,False,False,True,False,False,False,False,False,3694.4444444444443
53.0,2.98550820367171,1.049971767328613,1.985567271646495,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1996.9811320754718
65.0,3.405083825348819,1.0496636837073905,0.021904590518424555,7,False,True,False,False,False,True,False,False,True,False,False,False,False,False,3923.076923076923
58.0,2.921578285398661,1.0055431705602627,-0.0202878284376825,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3086.206896551724
